[2025-01-29T19:16:22.234Z] User: Johnson | Action: getTruckByIdRoute | Details: {"username":"Johnson","role":"coordinator","status":"successful"}
[2025-01-29T19:16:42.181Z] User: Johnson | Action: getDriversBySurnameRoute | Details: {"username":"Johnson","role":"coordinator","status":"successful"}
[2025-01-29T19:18:24.625Z] User: Johnson | Action: logout | Details: {"username":"Johnson","role":"coordinator","status":"Missing refreshToken"}
[2025-01-29T19:18:24.634Z] User: Johnson | Action: logout | Details: {"username":"Johnson","role":"coordinator","status":"successful"}
[2025-01-29T19:18:24.644Z] User: Johnson | Action: logout | Details: {"username":"Johnson","role":"coordinator","status":"Missing refreshToken"}
[2025-01-29T19:18:24.647Z] User: Johnson | Action: logout | Details: {"username":"Johnson","role":"coordinator","status":"successful"}
[2025-01-29T19:18:33.656Z] User: Johnson | Action: login | Details: {"username":"Johnson","userRole":"coordinator","status":"successful"}
[2025-01-29T19:18:57.284Z] User: Johnson | Action: getDriversBySurnameRoute | Details: {"username":"Johnson","role":"coordinator","status":"successful"}
[2025-01-29T19:19:02.237Z] User: Johnson | Action: getDriversBySurnameRoute | Details: {"username":"Johnson","role":"coordinator","status":"successful"}
[2025-01-29T19:19:02.249Z] User: Johnson | Action: getDriversBySurnameRoute | Details: {"username":"Johnson","role":"coordinator","status":"successful"}
[2025-01-29T19:22:59.909Z] User: Johnson | Action: login | Details: {"username":"Johnson","userRole":"coordinator","status":"successful"}
[2025-01-29T19:23:10.240Z] User: Johnson | Action: getDriversBySurnameRoute | Details: {"username":"Johnson","role":"coordinator","status":"successful"}
[2025-01-29T19:23:17.388Z] User: Johnson | Action: getDriversBySurnameRoute | Details: {"username":"Johnson","role":"coordinator","status":"successful"}
[2025-01-29T19:23:17.414Z] User: Johnson | Action: getDriversBySurnameRoute | Details: {"username":"Johnson","role":"coordinator","status":"successful"}
[2025-01-29T19:36:55.788Z] User: Johnson | Action: login | Details: {"username":"Johnson","userRole":"coordinator","status":"successful"}
[2025-01-29T19:37:11.325Z] User: Johnson | Action: getDriversBySurnameRoute | Details: {"username":"Johnson","role":"coordinator","status":"successful"}
[2025-01-29T19:37:16.328Z] User: Johnson | Action: getDriversBySurnameRoute | Details: {"username":"Johnson","role":"coordinator","status":"successful"}
[2025-01-29T19:37:16.333Z] User: Johnson | Action: getDriversBySurnameRoute | Details: {"username":"Johnson","role":"coordinator","status":"successful"}
[2025-01-29T19:42:03.021Z] User: Johnson | Action: getDriversBySurnameRoute | Details: {"username":"Johnson","role":"coordinator","status":"successful"}
[2025-01-29T19:42:10.107Z] User: Johnson | Action: getDriversBySurnameRoute | Details: {"username":"Johnson","role":"coordinator","status":"successful"}
[2025-01-29T19:42:50.302Z] User: Johnson | Action: getDriversBySurnameRoute | Details: {"username":"Johnson","role":"coordinator","status":"successful"}
[2025-01-29T19:43:18.948Z] User: Johnson | Action: getDriversBySurnameRoute | Details: {"username":"Johnson","role":"coordinator","status":"successful"}
[2025-01-29T19:43:30.728Z] User: Johnson | Action: getDriversBySurnameRoute | Details: {"username":"Johnson","role":"coordinator","status":"successful"}
[2025-01-29T19:46:18.552Z] User: Johnson | Action: refreshToken | Details: {"username":"Johnson","role":"coordinator","status":"failed","reason":"Empty request"}
[2025-01-29T19:46:18.569Z] User: Johnson | Action: refreshToken | Details: {"username":"Johnson","role":"coordinator","status":"failed","reason":"Wrong refreshToken"}
[2025-01-29T19:46:18.573Z] User: Johnson | Action: refreshToken | Details: {"username":"Johnson","role":"coordinator","status":"successful"}
[2025-01-29T19:46:20.159Z] User: Johnson | Action: getDriversBySurnameRoute | Details: {"username":"Johnson","status":"successful"}
[2025-01-29T19:46:25.633Z] User: Johnson | Action: getDriversBySurnameRoute | Details: {"username":"Johnson","status":"successful"}
[2025-01-29T19:46:25.641Z] User: Johnson | Action: getDriversBySurnameRoute | Details: {"username":"Johnson","status":"successful"}
[2025-01-29T19:49:41.960Z] User: Johnson | Action: getDriversBySurnameRoute | Details: {"username":"Johnson","status":"successful"}
[2025-01-29T19:49:41.969Z] User: Johnson | Action: logout | Details: {"username":"Johnson","status":"Missing refreshToken"}
[2025-01-29T19:49:41.975Z] User: Johnson | Action: logout | Details: {"username":"Johnson","status":"successful"}
[2025-01-29T19:50:49.497Z] User: Johnson | Action: login | Details: {"username":"Johnson","userRole":"coordinator","status":"successful"}
[2025-01-29T19:50:55.167Z] User: Johnson | Action: getDriversBySurnameRoute | Details: {"username":"Johnson","role":"coordinator","status":"successful"}
[2025-01-29T19:50:58.501Z] User: Johnson | Action: getDriversBySurnameRoute | Details: {"username":"Johnson","role":"coordinator","status":"successful"}
[2025-01-29T19:50:58.508Z] User: Johnson | Action: getDriversBySurnameRoute | Details: {"username":"Johnson","role":"coordinator","status":"successful"}
[2025-01-29T19:51:11.223Z] User: Johnson | Action: getDriversBySurnameRoute | Details: {"username":"Johnson","role":"coordinator","status":"successful"}
[2025-01-29T19:51:22.977Z] User: Johnson | Action: getDriversBySurnameRoute | Details: {"username":"Johnson","role":"coordinator","status":"successful"}
[2025-01-29T19:52:54.260Z] User: Johnson | Action: logout | Details: {"username":"Johnson","role":"coordinator","status":"Missing refreshToken"}
[2025-01-29T19:52:54.267Z] User: Johnson | Action: getDriversBySurnameRoute | Details: {"username":"Johnson","role":"coordinator","status":"successful"}
[2025-01-29T19:52:54.269Z] User: Johnson | Action: logout | Details: {"username":"Johnson","role":"coordinator","status":"successful"}
[2025-01-29T19:52:59.781Z] User: Johnson | Action: login | Details: {"username":"Johnson","userRole":"coordinator","status":"successful"}
[2025-01-29T19:53:02.832Z] User: Johnson | Action: getDriversBySurnameRoute | Details: {"username":"Johnson","role":"coordinator","status":"successful"}
[2025-01-29T19:53:04.264Z] User: Johnson | Action: getDriversBySurnameRoute | Details: {"username":"Johnson","role":"coordinator","status":"successful"}
[2025-01-29T19:53:04.270Z] User: Johnson | Action: getDriversBySurnameRoute | Details: {"username":"Johnson","role":"coordinator","status":"successful"}
[2025-01-29T19:53:35.732Z] User: Johnson | Action: getDriversBySurnameRoute | Details: {"username":"Johnson","role":"coordinator","status":"successful"}
[2025-01-29T19:54:52.553Z] User: Johnson | Action: logout | Details: {"username":"Johnson","role":"coordinator","status":"Missing refreshToken"}
[2025-01-29T19:54:52.562Z] User: Johnson | Action: logout | Details: {"username":"Johnson","role":"coordinator","status":"successful"}
[2025-01-29T20:34:56.319Z] User: Johnson | Action: login | Details: {"username":"Johnson","userRole":"coordinator","status":"successful"}
[2025-01-29T20:40:06.101Z] User: Johnson | Action: logout | Details: {"username":"Johnson","role":"coordinator","status":"Missing refreshToken"}
